Economy,Law Name,Law Number / Ref,Last Amended,Indicator ID,Article / Section,Discovery Tag,Location Reference,Verbatim Snippet,Mapping Rationale,Source URL,Confidence,Notes
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 198(6),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Copying or communicating material for educational purposes of educational institutions,"(6) For the purposes of this section — ( a ) without limiting section 195, a copy or communication is taken to be made for the educational purposes of any educational institution if it is made in an electronic form on a network operated or controlled by the institution for the purpose of being accessed by persons undertaking a course of education provided by the institution or another educational institution; and ( b ) a copy or communication made for the educational purposes of an educational institution is exempt if — (i) the copy is made for distribution, or the communication is made, to persons undertaking a correspondence course or an external study course provided by the institution; (ii) the copy is not distributed, or the communication is not made, as part of the lecture notes prepared for the course; (iii) in the case of an authorial work other than an article in a periodical publication — only a reasonable portion of the work is copied or communicated; and (iv) in the case of a recording of a protected performance — only a reasonable portion of the recording is copied or communicated.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 200(1),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Copying broadcasts or cable programmes for educational purposes,"(1) If the conditions in subsection (2) are met, it is a permitted use to make a copy of a broadcast or cable programme.","S1-S3 create an operative statutory copyright exception: where the stated education-institution conditions are met, it is a permitted use to make a copy of a broadcast or cable programme, and the permission extends to works/protected performances included in that broadcast/programme.",https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=not_applicable; protected_private_or_commercial_information=False; unauthorised_acquisition_use_or_disclosure=False; government_or_official_only=False
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 200(2),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Copying broadcasts or cable programmes for educational purposes,(2) The conditions are — ( a ) the copy is made by or on behalf of the body administering an educational institution; and ( b ) the copy is not used except for the purposes of a course of education at that institution.,The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 200(3),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Copying broadcasts or cable programmes for educational purposes,(3) A permitted use of a broadcast or cable programme under this section is also a permitted use of a work or protected performance included in the broadcast or programme.,"The provision creates an operative permitted-use exception for education-related copying of broadcasts/cable programmes, including that included works/protected performances are also covered as permitted uses when statutory conditions are met.",https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=not_applicable
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 201(1),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Copying for purposes of teaching or learning film making,"(1) If the conditions in subsection (2) are met, it is a permitted use for a person ( X ) to do the following acts: ( a ) make a copy of — (i) a sound recording; (ii) a film; (iii) a broadcast; (iv) a cable programme; (v) a recording of a protected performance; ( b ) record a protected performance live.",S1-S2 create an operative permitted-use exception for copying/recording specified copyright-protected subject-matter when the education/film-making conditions in subsection (2) are satisfied. This directly fits the COPYRIGHT_EXCEPTIONS requirement under P4-I5 (permitted use/exception).,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=substantive_duty; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 202,KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Things done for purposes of examination,"202. It is a permitted use of a work or protected performance to do anything for the purposes of an examination, including — ( a ) setting the questions; ( b ) communicating the questions to the candidates; and ( c ) answering the questions.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=not_applicable
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 203(1),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Inclusion of authorial work in collections for use by educational institutions,"(1) If the conditions in subsection (2) are met, it is a permitted use to include a short extract of an authorial work in a collection of authorial works.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 203(2),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Inclusion of authorial work in collections for use by educational institutions,"(2) The conditions are — ( a ) the work has been published; ( b ) the work was not published for the purpose of being used by educational institutions; ( c ) the collection is contained in a book, sound recording or film; ( d ) the collection is intended for use by educational institutions and this intention is described — (i) in the book; (ii) on the label or container of each copy of the recording; or (iii) in the film; ( e ) the work is sufficiently acknowledged; and ( f ) the collection and any similar recent collection do not contain, in total, more than one other extract from — (i) any other authorial work (being a copyright work) by the same author; or (ii) any adaptation of a literary, dramatic or musical work (being a copyright work) by the same author.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 204(1),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Using material available on Internet for educational purposes,"(1) If the conditions in subsection (2) are met, the following acts are permitted uses: ( a ) making a copy of a work or a recording of a protected performance; ( b ) communicating a work or a recording of a protected performance to the public; ( c ) making an adaptation of a literary, dramatic or musical work; ( d ) recording a protected performance live.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 204(2),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Using material available on Internet for educational purposes,"(2) The conditions are — ( a ) the work, recording or performance was accessed by the person ( X ) using the Internet; ( b ) when X accessed the work, recording or performance, it was generally accessible by the public free of charge using the Internet; Illustrations ( a ) A work, recording or performance is not generally accessible to the public if it is accessible only for a limited period that cannot be renewed or extended (for example, under a one‑time trial subscription). ( b ) A work, recording or performance is not generally accessible to the public if it is accessible only by circumventing an access control measure in circumstances that constitute an infringement of Division 4 of Part 7 (protection of technological measures). ( c ) A work, recording or performance is not accessible free of charge if it is only accessible under a paid subscription, even if not all users of the subscription paid for it. ( c ) either — (i) X is a public officer or an officer of a public body, and the act is done for the purpose of developing or implementing a curriculum for an educational institution; or (ii) X is a student of or a member of the staff of an educational institution, and the act is done for the educational purposes of that institution; ( d ) X cites (or causes to be cited) the Internet source from which the work, recording or performance was accessed and the date on which the source was accessed; ( e ) X gives (or causes to be given) a sufficient acknowledgment of the work, recording or performance, if and to the extent that the necessary information is available from the Internet source; ( f ) in the case of subsection (1)( b ) — the communication is done on — (i) a network — (A) that is operated or controlled by an educational institution; and (B) to which access is limited to the students or staff of that institution; or (ii) a prescribed platform; and ( g ) if the work, recording or performance has been made available on the Internet in circumstances that constitute a rights infringement — (i) X does not know and is not notified of this fact when X does the acts mentioned in subsection (1); and (ii) if X is subsequently notified of this fact — (A) X stops doing any of the acts mentioned in subsection (1); and (B) insofar as the work or recording has been communicated to the public, X takes reasonable steps to prevent the public from further accessing the work, recording or performance.","S2 creates an operative exception/permitted-use rule for specific copyright-relevant acts (making a copy, communicating to the public, making an adaptation, recording a live performance) when the conditions in S1 are met. S1 supplies the conditions limiting the exception.",https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=substantive_duty; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy; government_or_official_only=False
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 204(3),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Using material available on Internet for educational purposes,"(3) Without limiting the expression “educational purposes” elsewhere in this Act, for the purposes of this section, the following are taken to be acts done for educational purposes: ( a ) collaborative research; ( b ) acts done for the purposes of teaching or study; ( c ) organising or participating in an exhibition or a competition (whether within an educational institution or at the national or international level).",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 205(1),KNOWN,"PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Performances by students or staff of educational institutions, etc.","(1) If the conditions in subsection (2) are met, it is a permitted use to perform a musical work in public.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 205(3),KNOWN,"PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Performances by students or staff of educational institutions, etc.","(3) If the conditions in subsection (4) are met, it is a permitted use to perform a literary or dramatic work in public.","The provision creates an express permitted use (an exception) allowing specified public performances/communication acts by students or staff of educational institutions, but only when enumerated audience and ""course of activities"" conditions are satisfied.",https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 205(5),KNOWN,"PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Performances by students or staff of educational institutions, etc.","(5) If the conditions in subsection (6) are met, it is a permitted use to — ( a ) cause the visual images or sounds that are part of any of the following works to be seen or heard in public (or both): (i) a sound recording; (ii) a film; (iii) a television broadcast; (iv) a cable programme; or ( b ) cause a protected performance to be seen or heard (or both) live in public.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 211(1),KNOWN,"PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 4 — Persons with print disabilities / Making, distributing or making available accessible format copies for Singapore residents with print disabilities","(1) If the conditions in subsection (2) are met, it is a permitted use of any relevant material to — ( a ) make a copy of the material; ( b ) distribute a physical copy of the material; or ( c ) make available an electronic copy of the material.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy; protected_private_or_commercial_information=False; government_or_official_only=False
