"Economy","Law Name","Law Number / Ref","Last Amended","Indicator ID","Article / Section","Discovery Tag","Location Reference","Verbatim Snippet","Mapping Rationale","Source URL","Confidence","Notes"
"Australia","Copyright Act 1968","","","P4-I5","Part II - Interpretation, 10AA Non - infringing copy of a sound recording, s. 10AA(2)","KNOWN","Part II - Interpretation / 10AA Non - infringing copy of a sound recording","(2) If the sound recording is of a work that is a literary, dramatic or musical work in which copyright subsists in Australia, the copy is a non - infringing copy only if: (a) copyright subsists in the work under the law of the copy country; and (b) the making of the copy does not infringe the copyright in the work under the law of the copy country; and (c) the copy country meets the requirements of subsection (3). To avoid doubt, the requirements of this subsection are additional to those of subsection (1). Requirements for copy country","S1 creates an operative rule classifying when a copy of a sound recording is 'non-infringing' (i.e., permitted/exceptional treatment from infringement) where copyright subsists in the underlying literary, dramatic or musical work and specified copy-country conditions are satisfied.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 40 Fair dealing for purpose of research or study, s. 40(1)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 40 Fair dealing for purpose of research or study","(1) A fair dealing with a literary, dramatic, musical or artistic work, or with an adaptation of a literary, dramatic or musical work, for the purpose of research or study does not constitute an infringement of the copyright in the work.","The provision supplies copyright exceptions within the copyright legal framework.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 40 Fair dealing for purpose of research or study, s. 40(1A)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 40 Fair dealing for purpose of research or study","(1A) A fair dealing with a literary work (other than lecture notes) does not constitute an infringement of the copyright in the work if it is for the purpose of, or associated with, an approved course of study or research by an enrolled external student of an educational institution.","The provision creates an operative copyright exception: specified ""fair dealing ... for the purpose of research or study"" does not constitute infringement, including a specific approved-course-of-study/research exception for enrolled external students and associated definitions and limits.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 40 Fair dealing for purpose of research or study, s. 40(3)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 40 Fair dealing for purpose of research or study","(3) Despite subsection (2), a reproduction, for the purpose of research or study, of all or part of a literary, dramatic or musical work, or of an adaptation of such a work, contained in an article in a periodical publication is taken to be a fair dealing with the work or adaptation for the purpose of research or study.","The provision supplies copyright exceptions within the copyright legal framework.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 40 Fair dealing for purpose of research or study, s. 40(5)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 40 Fair dealing for purpose of research or study","(5) Despite subsection (2), a reproduction, for the purpose of research or study, of not more than a reasonable portion of a work or adaptation that is described in an item of the table and is not contained in an article in a periodical publication is taken to be a fair dealing with the work or adaptation for the purpose of research or study. For this purpose, reasonable portion means the amount described in the item. Works, adaptations and reasonable portions Item Work or adaptation Amount that is reasonable portion 1 A literary, dramatic or musical work (except a computer program), or an adaptation of such a work, that is contained in a published edition of at least 10 pages (a) 10% of the number of pages in the edition; or (b) if the work or adaptation is divided into chapters-a single chapter 2 A published literary work in electronic form (except a computer program or an electronic compilation, such as a database), a published dramatic work in electronic form or an adaptation published in electronic form of such a literary or dramatic work (a) 10% of the number of words in the work or adaptation; or (b) if the work or adaptation is divided into chapters-a single chapter","Section 40 provides a copyright exception: specific research/study reproductions are 'taken to be a fair dealing' and therefore 'do not constitute an infringement of the copyright'. This is an operative permitted-use exception within the copyright framework.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=defence_or_immunity"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 41 Fair dealing for purpose of criticism or review","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 41 Fair dealing for purpose of criticism or review","41 Fair dealing for purpose of criticism or review A fair dealing with a literary, dramatic, musical or artistic work, or with an adaptation of a literary, dramatic or musical work, does not constitute an infringement of the copyright in the work if it is for the purpose of criticism or review, whether of that work or of another work, and a sufficient acknowledgement of the work is made.","Section 41 provides an operative non-infringement exception: fair dealing is not an infringement when done for criticism or review and accompanied by sufficient acknowledgement.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 41A Fair dealing for purpose of parody or satire","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 41A Fair dealing for purpose of parody or satire","41A Fair dealing for purpose of parody or satire A fair dealing with a literary, dramatic, musical or artistic work, or with an adaptation of a literary, dramatic or musical work, does not constitute an infringement of the copyright in the work if it is for the purpose of parody or satire.","Section 41A provides an explicit copyright exception: fair dealing for parody or satire does not constitute infringement. This is a permitted non-infringing use directly tied to copyright infringement.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 42 Fair dealing for purpose of reporting news, s. 42(1)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 42 Fair dealing for purpose of reporting news","(1) A fair dealing with a literary, dramatic, musical or artistic work, or with an adaptation of a literary, dramatic or musical work, does not constitute an infringement of the copyright in the work if: (a) it is for the purpose of, or is associated with, the reporting of news in a newspaper, magazine or similar periodical and a sufficient acknowledgement of the work is made; or (b) it is for the purpose of, or is associated with, the reporting of news by means of a communication or in a cinematograph film.","The provision supplies copyright exceptions within the copyright legal framework.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=limits_remedy; protected_private_or_commercial_information=False"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 43 Reproduction for purpose of judicial proceedings or professional advice, s. 43(2)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 43 Reproduction for purpose of judicial proceedings or professional advice","(2) A fair dealing with a literary, dramatic, musical or artistic work does not constitute an infringement of the copyright in the work if it is for the purpose of the giving of professional advice by: (a) a legal practitioner; or (b) a person registered as a patent attorney under the Patents Act 1990 ; or (c) a person registered as a trade marks attorney under the Trade Marks Act 1995 .","The provision supplies copyright exceptions within the copyright legal framework.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 43A Temporary reproductions made in the course of communication, s. 43A(1)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 43A Temporary reproductions made in the course of communication","(1) The copyright in a work, or an adaptation of a work, is not infringed by making a temporary reproduction of the work or adaptation as part of the technical process of making or receiving a communication.","The provision supplies copyright exceptions within the copyright legal framework.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 43A Temporary reproductions made in the course of communication, s. 43A(2)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 43A Temporary reproductions made in the course of communication","(2) Subsection (1) does not apply in relation to the making of a temporary reproduction of a work, or an adaptation of a work, as part of the technical process of making a communication if the making of the communication is an infringement of copyright.","This provision creates an operative non-infringement exception for temporary reproductions made as part of the technical process of making/receiving a communication, with an explicit limitation where the communication itself is an infringement (S1).","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 43B Temporary reproductions of works as part of a technical process of use, s. 43B(1)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 43B Temporary reproductions of works as part of a technical process of use","(1) Subject to subsection (2), the copyright in a work is not infringed by the making of a temporary reproduction of the work if the reproduction is incidentally made as a necessary part of a technical process of using a copy of the work.","The provision supplies copyright exceptions within the copyright legal framework.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 43B Temporary reproductions of works as part of a technical process of use, s. 43B(2)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 43B Temporary reproductions of works as part of a technical process of use","(2) Subsection (1) does not apply to: (a) the making of a temporary reproduction of a work if the reproduction is made from: (i) an infringing copy of the work; or (ii) a copy of the work where the copy is made in another country and would be an infringing copy of the work if the person who made the copy had done so in Australia; or (b) the making of a temporary reproduction of a work as a necessary part of a technical process of using a copy of the work if that use constitutes an infringement of the copyright in the work.","The provision supplies copyright exceptions within the copyright legal framework.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 43C Reproducing works in books, newspapers and periodical publications in different form for private use, s. 43C(1)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 43C Reproducing works in books, newspapers and periodical publications in different form for private use","(1) This section applies if: (a) the owner of a book, newspaper or periodical publication makes from it a reproduction (the main copy ) of a work contained in the book, newspaper or periodical publication; and (b) the main copy is made for his or her private and domestic use instead of the work as contained in the book, newspaper or periodical publication; and (c) the main copy embodies the work in a form different from the form in which the work is embodied in the book, newspaper or periodical publication; and (d) the book, newspaper or periodical publication itself is not an infringing copy of either the work or a published edition of the work; and (e) at the time the owner makes the main copy, he or she has not made, and is not making, another copy that embodies the work in a form substantially identical to the form of the main copy. For this purpose, disregard a temporary reproduction of the work incidentally made as a necessary part of the technical process of making the main copy.","The provision sets an operative non-infringement rule: when the specified conditions for making a differently-formed main copy for private and domestic use are met, making the main copy is not an infringement of copyright.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=defence_or_immunity"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 43C Reproducing works in books, newspapers and periodical publications in different form for private use, s. 43C(2)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 43C Reproducing works in books, newspapers and periodical publications in different form for private use","(2) The making of the main copy is not an infringement of copyright in the work or a published edition of the work. Dealing with main copy may make it an infringing copy","The provision supplies copyright exceptions within the copyright legal framework.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 44 Inclusion of works in collections for use by places of education, s. 44(1)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 44 Inclusion of works in collections for use by places of education","(1) The copyright in a published literary, dramatic, musical or artistic work is not infringed by the inclusion of a short extract from the work, or, in the case of a published literary, dramatic or musical work, from an adaptation of the work, in a collection of literary, dramatic, musical or artistic works contained in a book, sound recording or cinematograph film and intended for use by places of education if: (a) the collection is described in an appropriate place in the book, on the label of each record embodying the recording or of its container, or in the film, as being intended for use by places of education; (b) the work or adaptation was not published for the purpose of being used by places of education; (c) the collection consists principally of matter in which copyright does not subsist; and (d) a sufficient acknowledgement of the work or adaptation is made.","The provision supplies copyright exceptions within the copyright legal framework.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part III - Copyright in original literary, dramatic, musical and artistic works, Division 3 - Acts not constituting infringements of copyright in works, 44A Importation etc. of books, s. 44A(4)","KNOWN","Part III - Copyright in original literary, dramatic, musical and artistic works / Division 3 - Acts not constituting infringements of copyright in works / 44A Importation etc. of books","(4) The copyright in a published work (whether first published before, on or after the commencing day) is not infringed by a person who, without the licence of the owner of the copyright, imports 2 or more copies of a non - infringing book into Australia if: (a) the importation is for the purpose of filling a written order, or a verifiable telephone order, placed with the person by or on behalf of a library, other than a library conducted for the profit (direct or indirect) of a person or organisation; and (b) in the case of a written order-the order contains a statement, signed by the person placing the order, to the effect that the library does not intend to use any of the books for a purpose mentioned in paragraph 37(1)(a), (b) or (c); and (c) in the case of a telephone order-the person placing the order makes a verifiable statement to the effect referred to in paragraph (b); and (d) the number of copies so imported is not more than the number of copies so ordered.","S1 contains an operative non-infringement exception: it states that copyright in a published work is not infringed by an importing person who meets specified order/statement/purpose/quantity conditions, establishing an explicit copyright exception to infringement for importation of books.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=not_applicable"
